metric,rank,player_name,team_2025_26,projected_value,season
Projected steals per game,4,Tyrese Maxey,PHI,1.71,2026-27
Projected steals per game,5,Matisse Thybulle,POR,1.67,2026-27
Projected steals per game,6,Luka Dončić,LAL,1.61,2026-27
Projected steals per game,7,Shai Gilgeous-Alexander,OKC,1.57,2026-27
Projected steals per game,8,Kevin Porter Jr.,MIL,1.55,2026-27
Projected steals per game,9,Nikola Jokić,DEN,1.54,2026-27
Projected steals per game,10,Jalen Suggs,ORL,1.53,2026-27
Projected steals per game,11,Kawhi Leonard,LAC,1.53,2026-27
Projected steals per game,12,Herbert Jones,NOP,1.43,2026-27
Projected steals per game,13,Amen Thompson,HOU,1.41,2026-27
Projected steals per game,14,OG Anunoby,NYK,1.39,2026-27
Projected steals per game,15,Kris Dunn,LAC,1.37,2026-27
Projected steals per game,16,Cade Cunningham,DET,1.37,2026-27
Projected steals per game,17,Paul George,PHI,1.37,2026-27
Projected steals per game,18,Scottie Barnes,TOR,1.37,2026-27
Projected steals per game,19,Donovan Mitchell,CLE,1.37,2026-27
Projected steals per game,20,VJ Edgecombe,PHI,1.36,2026-27
Projected blocks per game,1,Victor Wembanyama,SAS,2.96,2026-27
Projected blocks per game,2,Chet Holmgren,OKC,1.81,2026-27
Projected blocks per game,3,Alex Sarr,WAS,1.6,2026-27
Projected blocks per game,4,Anthony Davis,WAS,1.58,2026-27
Projected blocks per game,5,Donovan Clingan,POR,1.49,2026-27
Projected blocks per game,6,Evan Mobley,CLE,1.48,2026-27
Projected blocks per game,7,Myles Turner,MIL,1.44,2026-27
Projected blocks per game,8,Robert Williams III,POR,1.42,2026-27
Projected blocks per game,9,Ryan Kalkbrenner,CHA,1.38,2026-27
Projected blocks per game,10,Jay Huff,IND,1.35,2026-27
Projected blocks per game,11,Isaiah Stewart,DET,1.35,2026-27
Projected blocks per game,12,Dylan Cardwell,SAC,1.31,2026-27
Projected blocks per game,13,Daniel Gafford,DAL,1.3,2026-27
Projected blocks per game,14,Rudy Gobert,MIN,1.29,2026-27
Projected blocks per game,15,Yves Missi,NOP,1.29,2026-27
Projected blocks per game,16,Jaren Jackson Jr.,UTA,1.27,2026-27
Projected blocks per game,17,Scottie Barnes,TOR,1.24,2026-27
Projected blocks per game,18,Matas Buzelis,CHI,1.16,2026-27
Projected blocks per game,19,Keegan Murray,SAC,1.13,2026-27
Projected blocks per game,20,Kristaps Porziņģis,GSW,1.12,2026-27
